target;id;text;text_tokenized_list;text_tokenized
effect;2775.0;deficiencia en la preparacion tecnica, fisica y psicologica de los deportistas. falencias en los procesos administrativos en institutos municipales, ligas, clubes y escuelas deportivas;['deficiencia', 'preparacion', 'tecnica', 'fisica', 'psicologica', 'deportistas', 'falencias', 'procesos', 'administrativos', 'institutos', 'municipales', 'ligas', 'clubes', 'escuelas', 'deportivas'];deficiencia preparacion tecnica fisica psicologica deportistas falencias procesos administrativos institutos municipales ligas clubes escuelas deportivas
cause;104839.0;deficiente mantenimiento;['deficiente', 'mantenimiento'];deficiente mantenimiento
cause;4994.0;aumento en las tasas de accidentalidad;['aumento', 'tasas', 'accidentalidad'];aumento tasas accidentalidad
effect;4302.0;aumento en el indice de morbilidad causada por enfermedades cardiovasculares y oseas.;['aumento', 'indice', 'morbilidad', 'causada', 'enfermedades', 'cardiovasculares', 'oseas'];aumento indice morbilidad causada enfermedades cardiovasculares oseas
effect;2840.0;falta de autonomia y alta dependencia de los sectores que generan informacion tematica geoespacial;['falta', 'autonomia', 'alta', 'dependencia', 'sectores', 'generan', 'informacion', 'tematica', 'geoespacial'];falta autonomia alta dependencia sectores generan informacion tematica geoespacial
cause;4110.0;bajo seguimiento al control en el recaudo de peajes;['bajo', 'seguimiento', 'control', 'recaudo', 'peajes'];bajo seguimiento control recaudo peajes
effect;2771.0;aumento del  violencia hacia la comunidad lgbti;['aumento', 'violencia', 'hacia', 'comunidad', 'lgbti'];aumento violencia hacia comunidad lgbti
effect;4173.0;aumento de tiempos de viaje;['aumento', 'tiempos', 'viaje'];aumento tiempos viaje
cause;5628.0;deficiente mantenimiento de la via;['deficiente', 'mantenimiento', 'via'];deficiente mantenimiento via
problem;44814.0;dificultad en la intercomunicacion terrestre de la poblacion rural de la vereda roble sur en el sector bernal del municipio de gachancipa;['dificultad', 'intercomunicacion', 'terrestre', 'poblacion', 'rural', 'vereda', 'roble', 'sur', 'sector', 'bernal', 'municipio', 'gachancipa'];dificultad intercomunicacion terrestre poblacion rural vereda roble sur sector bernal municipio gachancipa
effect;22962.0;aumento de tiempo de viaje;['aumento', 'tiempo', 'viaje'];aumento tiempo viaje
cause;3250.0;debilidad en la atencion de las solicitudes de ayudas humanitarias  de la poblacion vca  a traves de los ctjtm.;['debilidad', 'atencion', 'solicitudes', 'ayudas', 'humanitarias', 'poblacion', 'vca', 'traves', 'ctjtm'];debilidad atencion solicitudes ayudas humanitarias poblacion vca traves ctjtm
problem;2495.0;bajos niveles de practica deportiva por parte de la poblacion de la vereda la union del municipio de subachoque.;['bajos', 'niveles', 'practica', 'deportiva', 'parte', 'poblacion', 'vereda', 'union', 'municipio', 'subachoque'];bajos niveles practica deportiva parte poblacion vereda union municipio subachoque
effect;2336.0;menores tasas de crecimiento economico y aumento en el desempleo y condiciones de pobreza;['menores', 'tasas', 'crecimiento', 'economico', 'aumento', 'desempleo', 'condiciones', 'pobreza'];menores tasas crecimiento economico aumento desempleo condiciones pobreza
cause;2293.0;a) docentes de ingles con nivel inferior al b2 de acuerdo con el mcerl. b) baja intensidad horaria para la ensenanza del ingles;['docentes', 'ingles', 'nivel', 'inferior', 'acuerdo', 'mcerl', 'b', 'baja', 'intensidad', 'horaria', 'ensenanza', 'ingles'];docentes ingles nivel inferior acuerdo mcerl b baja intensidad horaria ensenanza ingles
effect;1248.0;no se conoce el numero de productores agropecuarios en el departamento;['conoce', 'numero', 'productores', 'agropecuarios', 'departamento'];conoce numero productores agropecuarios departamento
effect;5540.0;desercion escolar;['desercion', 'escolar'];desercion escolar
cause;146466.0;deterioro de las vias terciarias;['deterioro', 'vias', 'terciarias'];deterioro vias terciarias
problem;5107.0;dificultad en la intercomunicacion terrestre entre el casco urbano y la vereda quebrada honda, sector el taller del municipio de la pena;['dificultad', 'intercomunicacion', 'terrestre', 'casco', 'urbano', 'vereda', 'quebrada', 'honda', 'sector', 'taller', 'municipio', 'pena'];dificultad intercomunicacion terrestre casco urbano vereda quebrada honda sector taller municipio pena
effect;119469.0;incremento de precios de los alimentos;['incremento', 'precios', 'alimentos'];incremento precios alimentos
effect;18973.0;baja comercializacion de productos agropecuarios;['baja', 'comercializacion', 'productos', 'agropecuarios'];baja comercializacion productos agropecuarios
effect;21104.0;se practica deporte en espacios improvisados no adecuados;['practica', 'deporte', 'espacios', 'improvisados', 'adecuados'];practica deporte espacios improvisados adecuados
cause;94760.0;deterioro de las vias terciarias;['deterioro', 'vias', 'terciarias'];deterioro vias terciarias
effect;19019.0;bajo desempeno en las pruebas de estado;['bajo', 'desempeno', 'pruebas'];bajo desempeno pruebas
cause;200514.0;falta de recursos del ente municipal para mantenimiento preventivo y correctivo.;['falta', 'recursos', 'ente', 'municipal', 'mantenimiento', 'preventivo', 'correctivo'];falta recursos ente municipal mantenimiento preventivo correctivo
cause;3349.0;canales no presenciales desactualizados.;['canales', 'presenciales', 'desactualizados'];canales presenciales desactualizados
problem;53084.0;disminucion en el indice de la movilidad en las vias  urbanas del municipio de zipaquira.;['disminucion', 'indice', 'movilidad', 'vias', 'urbanas', 'municipio', 'zipaquira'];disminucion indice movilidad vias urbanas municipio zipaquira
effect;4360.0;se practica deporte en espacios improvisados no adecuados;['practica', 'deporte', 'espacios', 'improvisados', 'adecuados'];practica deporte espacios improvisados adecuados
cause;2378.0;desarticulacion de los diferentes actores e instituciones, municipales, departamentales y nacionales frente a la gestion del riesgo;['desarticulacion', 'diferentes', 'actores', 'instituciones', 'municipales', 'departamentales', 'nacionales', 'frente', 'gestion', 'riesgo'];desarticulacion diferentes actores instituciones municipales departamentales nacionales frente gestion riesgo
cause;16802.0;insuficiente mantenimiento de las vias rurales;['insuficiente', 'mantenimiento', 'vias', 'rurales'];insuficiente mantenimiento vias rurales
cause;2934.0;falta de oportunidades  de participacion de los  procesos de formacion;['falta', 'oportunidades', 'participacion', 'procesos', 'formacion'];falta oportunidades participacion procesos formacion
cause;6109.0;incremento en los costos de salud;['incremento', 'costos', 'salud'];incremento costos salud
cause;3552.0;limitado numero de funcionarios con conocimiento y habilidades en el proceso de rendicion de cuentas;['limitado', 'numero', 'funcionarios', 'conocimiento', 'habilidades', 'proceso', 'rendicion', 'cuentas'];limitado numero funcionarios conocimiento habilidades proceso rendicion cuentas
cause;13914.0;escasos recursos economicos de la poblacion para mejoramiento de vivienda;['escasos', 'recursos', 'economicos', 'poblacion', 'mejoramiento', 'vivienda'];escasos recursos economicos poblacion mejoramiento vivienda
cause;19097.0;falta de recursos para la inversion en infraestructura dpeortiva;['falta', 'recursos', 'inversion', 'infraestructura', 'dpeortiva'];falta recursos inversion infraestructura dpeortiva
cause;3077.0;aislamiento geografico y menores niveles de servicios de comunicacion;['aislamiento', 'geografico', 'menores', 'niveles', 'servicios', 'comunicacion'];aislamiento geografico menores niveles servicios comunicacion
problem;1088.0;condiciones inadecuadas de habitat de la poblacion del municipio de nimaima.;['condiciones', 'inadecuadas', 'habitat', 'poblacion', 'municipio', 'nimaima'];condiciones inadecuadas habitat poblacion municipio nimaima
effect;20874.0;aumento en los tiempos de viaje a los diferentes sectores de la via;['aumento', 'tiempos', 'viaje', 'diferentes', 'sectores', 'via'];aumento tiempos viaje diferentes sectores via
effect;5212.0;aumento en los indices de mala calidad de vida;['aumento', 'indices', 'mala', 'calidad', 'vida'];aumento indices mala calidad vida
cause;14354.0;aumento en los costos de transporte de carga y pasajeros;['aumento', 'costos', 'transporte', 'carga', 'pasajeros'];aumento costos transporte carga pasajeros
cause;11417.0;vias rurales en malas condiciones.;['vias', 'rurales', 'malas', 'condiciones'];vias rurales malas condiciones
effect;7091.0;aumento de tiempos de viaje.;['aumento', 'tiempos', 'viaje'];aumento tiempos viaje
cause;11722.0;escaso mantenimiento de la via;['escaso', 'mantenimiento', 'via'];escaso mantenimiento via
effect;3738.0;migracion de los practicantes de deporte a otros municipios.;['migracion', 'practicantes', 'deporte', 'municipios'];migracion practicantes deporte municipios
effect;7323.0;dificulta el intercambio comercial de productos, en especial la ganaderia, acceso a la salud, acceso a la educacion, a la justicia y a todos los demas beneficios que se encuentran alli.;['dificulta', 'intercambio', 'comercial', 'productos', 'especial', 'ganaderia', 'acceso', 'salud', 'acceso', 'educacion', 'justicia', 'demas', 'beneficios', 'encuentran', 'alli'];dificulta intercambio comercial productos especial ganaderia acceso salud acceso educacion justicia demas beneficios encuentran alli
effect;2568.0;disminucion de recursos para inversion;['disminucion', 'recursos', 'inversion'];disminucion recursos inversion
effect;6000.0;baja comercializacion de productos agropecuarios;['baja', 'comercializacion', 'productos', 'agropecuarios'];baja comercializacion productos agropecuarios
effect;1895.0;problemas de aprendizaje, presencia de enfermedades cronicas no transmisibles;['problemas', 'aprendizaje', 'presencia', 'enfermedades', 'cronicas', 'transmisibles'];problemas aprendizaje presencia enfermedades cronicas transmisibles
cause;133540.0;deficientes obras de arte para evacuacion de las aguas lluvias y escorrentia;['deficientes', 'obras', 'arte', 'evacuacion', 'aguas', 'lluvias', 'escorrentia'];deficientes obras arte evacuacion aguas lluvias escorrentia
cause;4301.0;escases de recursos para la terminacion del proyecto.;['escases', 'recursos', 'terminacion', 'proyecto'];escases recursos terminacion proyecto
effect;14434.0;aumento en los costos de mantenimiento de los vehiculos.;['aumento', 'costos', 'mantenimiento', 'vehiculos'];aumento costos mantenimiento vehiculos
cause;3672.0;buscar la cooperacion entre el departamento y medicina legal pra construir y dotar los laboratorios de la sede del departamento de cundinamarca;['buscar', 'cooperacion', 'departamento', 'medicina', 'legal', 'pra', 'construir', 'dotar', 'laboratorios', 'sede', 'departamento', 'cundinamarca'];buscar cooperacion departamento medicina legal pra construir dotar laboratorios sede departamento cundinamarca
cause;151988.0;drenaje insuficiente;['drenaje', 'insuficiente'];drenaje insuficiente
effect;18175.0;ineficiencia  de oferta interinstitucional, para la  adecuada asistencia y atencion a victimas del conflicto armado;['ineficiencia', 'oferta', 'interinstitucional', 'adecuada', 'asistencia', 'atencion', 'victimas', 'conflicto', 'armado'];ineficiencia oferta interinstitucional adecuada asistencia atencion victimas conflicto armado
effect;5211.0;dificultad y aumento en los tiempos de desplazamiento;['dificultad', 'aumento', 'tiempos', 'desplazamiento'];dificultad aumento tiempos desplazamiento
cause;181456.0;mantenimiento preventivo y correctivo deficiente;['mantenimiento', 'preventivo', 'correctivo', 'deficiente'];mantenimiento preventivo correctivo deficiente
cause;21646.0;vias en mal estado, intransitables o con restricciones de transito;['vias', 'mal', 'intransitables', 'restricciones', 'transito'];vias mal intransitables restricciones transito
effect;4225.0;incremento de las lesiones y accidentes en las practicas deportivas.;['incremento', 'lesiones', 'accidentes', 'practicas', 'deportivas'];incremento lesiones accidentes practicas deportivas
cause;6423.0;mantenimiento preventivo y correctivo deficiente;['mantenimiento', 'preventivo', 'correctivo', 'deficiente'];mantenimiento preventivo correctivo deficiente
effect;174437.0;areas no adecuadas para prestar servicios de salud.;['areas', 'adecuadas', 'prestar', 'servicios', 'salud'];areas adecuadas prestar servicios salud
cause;163836.0;el municipio de arbelaez no cuenta con una sede administrativa adecuada para la debida prestacion de servicios.;['municipio', 'arbelaez', 'cuenta', 'sede', 'administrativa', 'adecuada', 'debida', 'prestacion', 'servicios'];municipio arbelaez cuenta sede administrativa adecuada debida prestacion servicios
effect;17619.0;malas condiciones de salubridad;['malas', 'condiciones', 'salubridad'];malas condiciones salubridad
cause;12873.0;drenaje deficiente de escorrentia;['drenaje', 'deficiente', 'escorrentia'];drenaje deficiente escorrentia
effect;22171.0;incremento de precios en los alimentos;['incremento', 'precios', 'alimentos'];incremento precios alimentos
cause;154994.0;via viani  vereda manillas sector alto de manillas en mal estado;['via', 'viani', 'vereda', 'manillas', 'sector', 'alto', 'manillas', 'mal'];via viani vereda manillas sector alto manillas mal
effect;20286.0;desercion escolar;['desercion', 'escolar'];desercion escolar
effect;9757.0;desinteres en la practica del deporte y las actividades de tiempo libre.;['desinteres', 'practica', 'deporte', 'actividades', 'tiempo', 'libre'];desinteres practica deporte actividades tiempo libre
cause;2520.0;deficiente manejo agronomico en los cultivos;['deficiente', 'manejo', 'agronomico', 'cultivos'];deficiente manejo agronomico cultivos
cause;39919.0;puntos criticos detectados por atender.;['puntos', 'criticos', 'detectados', 'atender'];puntos criticos detectados atender
effect;1687.0;erosion y suelos degradados;['erosion', 'suelos', 'degradados'];erosion suelos degradados
effect;1961.0;disminucion en la produccion agropecuaria por la dificultad de llevar insumos y transportar la produccion hacia el casco urbano o el mercado regional;['disminucion', 'produccion', 'agropecuaria', 'dificultad', 'llevar', 'insumos', 'transportar', 'produccion', 'hacia', 'casco', 'urbano', 'mercado', 'regional'];disminucion produccion agropecuaria dificultad llevar insumos transportar produccion hacia casco urbano mercado regional
cause;94533.0;inexistente mantenimiento periodico o rutinario;['inexistente', 'mantenimiento', 'periodico', 'rutinario'];inexistente mantenimiento periodico rutinario
effect;5938.0;bajo acceso a las instalaciones administrativas;['bajo', 'acceso', 'instalaciones', 'administrativas'];bajo acceso instalaciones administrativas
problem;477.0;inasistencia o abandono de la poblacion al sistema educativo del departamento de cundinamarca;['inasistencia', 'abandono', 'poblacion', 'sistema', 'educativo', 'departamento', 'cundinamarca'];inasistencia abandono poblacion sistema educativo departamento cundinamarca
effect;49844.0;dificil acceso de servicios medicos;['dificil', 'acceso', 'servicios', 'medicos'];dificil acceso servicios medicos
cause;7897.0;deterioro de la inraestructura fisica del hito arquitectonico.;['deterioro', 'inraestructura', 'fisica', 'hito', 'arquitectonico'];deterioro inraestructura fisica hito arquitectonico
cause;2137.0;trafico de vehiculos y caballos por la via despues de fuertes lluvias;['trafico', 'vehiculos', 'caballos', 'via', 'despues', 'fuertes', 'lluvias'];trafico vehiculos caballos via despues fuertes lluvias
problem;699.0;bajo emporderamiento de la mujer cundinamarquesa en relacion con su autonomia economica y la desigualdad de oportunidades laborales;['bajo', 'emporderamiento', 'mujer', 'cundinamarquesa', 'relacion', 'autonomia', 'economica', 'desigualdad', 'oportunidades', 'laborales'];bajo emporderamiento mujer cundinamarquesa relacion autonomia economica desigualdad oportunidades laborales
problem;39596.0;dificultad en la intercomunicacion terrestre de la via a la vereda subia pedregal sector quebrada el agua dulce del municipio;['dificultad', 'intercomunicacion', 'terrestre', 'via', 'vereda', 'subia', 'pedregal', 'sector', 'quebrada', 'agua', 'dulce', 'municipio'];dificultad intercomunicacion terrestre via vereda subia pedregal sector quebrada agua dulce municipio
cause;11555.0;desarticulacion y debilidad institucional;['desarticulacion', 'debilidad', 'institucional'];desarticulacion debilidad institucional
effect;9380.0;danos a automotores y accidentes de transito con lesiones a conductores y peatones.;['danos', 'automotores', 'accidentes', 'transito', 'lesiones', 'conductores', 'peatones'];danos automotores accidentes transito lesiones conductores peatones
cause;7384.0;infraestructura obsoleta;['infraestructura', 'obsoleta'];infraestructura obsoleta
cause;132690.0;construccion de vias sin ninguna consideracion tecnica;['construccion', 'vias', 'ninguna', 'consideracion', 'tecnica'];construccion vias ninguna consideracion tecnica
cause;3864.0;desercion escolar, bajos niveles educativos y culturales.;['desercion', 'escolar', 'bajos', 'niveles', 'educativos', 'culturales'];desercion escolar bajos niveles educativos culturales
cause;20200.0;deficientes escenarios deportivos en la zona rural del municipio;['deficientes', 'escenarios', 'deportivos', 'zona', 'rural', 'municipio'];deficientes escenarios deportivos zona rural municipio
problem;609.0;falta de atencion integral a las victimas del conflicto armado en el departamento de cundinamarca;['falta', 'atencion', 'integral', 'victimas', 'conflicto', 'armado', 'departamento', 'cundinamarca'];falta atencion integral victimas conflicto armado departamento cundinamarca
cause;5469.0;bajo mantenimiento preventivo y correctivo de la via;['bajo', 'mantenimiento', 'preventivo', 'correctivo', 'via'];bajo mantenimiento preventivo correctivo via
effect;20973.0;riesgo de desaparicion de la unica via de acceso;['riesgo', 'desaparicion', 'unica', 'via', 'acceso'];riesgo desaparicion unica via acceso
effect;4570.0;deficiente rendimiento de los deportistas profesionales y amater por la falta de la cubierta para cubrirse de las condiciones climaticas;['deficiente', 'rendimiento', 'deportistas', 'profesionales', 'amater', 'falta', 'cubierta', 'cubrirse', 'condiciones', 'climaticas'];deficiente rendimiento deportistas profesionales amater falta cubierta cubrirse condiciones climaticas
effect;4224.0;baja participacion deportiva de la comunidad.;['baja', 'participacion', 'deportiva', 'comunidad'];baja participacion deportiva comunidad
effect;2498.0;inconformidad de la poblacion vca con  el estado;['inconformidad', 'poblacion', 'vca'];inconformidad poblacion vca
cause;2493.0;falta de infraestructura para la implementacion de tecnologias y combustibles alternativos.;['falta', 'infraestructura', 'implementacion', 'tecnologias', 'combustibles', 'alternativos'];falta infraestructura implementacion tecnologias combustibles alternativos
cause;6562.0;falta de recursos economicos para mejorar los espacios;['falta', 'recursos', 'economicos', 'mejorar', 'espacios'];falta recursos economicos mejorar espacios
effect;102880.0;inoportuno acceso a servicios medicos;['inoportuno', 'acceso', 'servicios', 'medicos'];inoportuno acceso servicios medicos
cause;1020.0;deficit en el mantenimiento de la via;['deficit', 'mantenimiento', 'via'];deficit mantenimiento via
cause;11382.0;no hay reconocimiento social para procesos pedagogicos innovadores y  practicas investigativas de maestros;['reconocimiento', 'social', 'procesos', 'pedagogicos', 'innovadores', 'practicas', 'investigativas', 'maestros'];reconocimiento social procesos pedagogicos innovadores practicas investigativas maestros
problem;3585.0;deficit de vivienda en el sector rural del municipio de guayabal de siquima;['deficit', 'vivienda', 'sector', 'rural', 'municipio', 'guayabal', 'siquima'];deficit vivienda sector rural municipio guayabal siquima
cause;17004.0;recursos insuficientes para inicio de operaciones;['recursos', 'insuficientes', 'inicio', 'operaciones'];recursos insuficientes inicio operaciones
cause;97451.0;el poco mantenimiento;['mantenimiento'];mantenimiento
effect;1595.0;dejar de implementar una estrategia innovadora en los procesos de aprendizaje.;['dejar', 'implementar', 'estrategia', 'innovadora', 'procesos', 'aprendizaje'];dejar implementar estrategia innovadora procesos aprendizaje
problem;1245.0;dificultad en la intercomunicacion terrestre de la poblacion rural de la vereda agua caliente en la via la aguada del municipio de paratebueno;['dificultad', 'intercomunicacion', 'terrestre', 'poblacion', 'rural', 'vereda', 'agua', 'caliente', 'via', 'aguada', 'municipio', 'paratebueno'];dificultad intercomunicacion terrestre poblacion rural vereda agua caliente via aguada municipio paratebueno
effect;22032.0;hacinamiento;['hacinamiento'];hacinamiento
problem;4599.0;deficientes condiciones habitacionales de las personas ubicadas en la zona rural;['deficientes', 'condiciones', 'habitacionales', 'personas', 'ubicadas', 'zona', 'rural'];deficientes condiciones habitacionales personas ubicadas zona rural
cause;7664.0;alteracion de los ecosistemas que proveen recursos hidricos.;['alteracion', 'ecosistemas', 'proveen', 'recursos', 'hidricos'];alteracion ecosistemas proveen recursos hidricos
effect;5131.0;aumento en el tiempo de desplazamiento;['aumento', 'tiempo', 'desplazamiento'];aumento tiempo desplazamiento
cause;5047.0;deterioro de las vias;['deterioro', 'vias'];deterioro vias
effect;7707.0;incremento en los costos de operacion y mantenimiento;['incremento', 'costos', 'operacion', 'mantenimiento'];incremento costos operacion mantenimiento
problem;1938.0;dificultad en la intercomunicacion terrestre de la poblacion rural de la vereda patevaca sectores rio negrita, villa rica, cano ondo, los bufalos y capera finca cementerio del municipio de yacopi;['dificultad', 'intercomunicacion', 'terrestre', 'poblacion', 'rural', 'vereda', 'patevaca', 'sectores', 'rio', 'negrita', 'villa', 'rica', 'cano', 'ondo', 'bufalos', 'capera', 'finca', 'cementerio', 'municipio', 'yacopi'];dificultad intercomunicacion terrestre poblacion rural vereda patevaca sectores rio negrita villa rica cano ondo bufalos capera finca cementerio municipio yacopi
cause;7884.0;la imagen institucional esta afectada por falta de voluntad politica para mejorar las instalaciones del palacio municipal;['imagen', 'institucional', 'afectada', 'falta', 'voluntad', 'politica', 'mejorar', 'instalaciones', 'palacio', 'municipal'];imagen institucional afectada falta voluntad politica mejorar instalaciones palacio municipal
effect;2976.0;aumento de la dependencia economica  por parte de las mujeres.;['aumento', 'dependencia', 'economica', 'parte', 'mujeres'];aumento dependencia economica parte mujeres
effect;18211.0;inoportuno acceso a servicios medicos;['inoportuno', 'acceso', 'servicios', 'medicos'];inoportuno acceso servicios medicos
