TIPO;ID;DESCRIPCION;DESCRIPCION_LEM;
Effect;1829.0;Desconocimiento de los productores de entidades y organismos que acompanen los procesos de organizacion y comercializacion  instrumentos que facilitan el acceso al credito agropecuario y a los Incentivos;['desconocimiento', 'de', 'el', 'productor', 'de', 'entidad', 'y', 'organismo', 'que', 'acompanar', 'el', 'proceso', 'de', 'organizacion', 'y', 'comercializacion', 'instrumento', 'que', 'facilitar', 'el', 'acceso', 'a', 'el', 'credito', 'agropecuario', 'y', 'a', 'el', 'incentivo'];
Cause;2479.0;Altos costos en la busqueda de mercados, y dificultades en el cumplimiento de normas para la venta de productos;['alto', 'costo', 'en', 'el', 'busqueda', 'de', 'mercado', ',', 'y', 'dificultad', 'en', 'el', 'cumplimiento', 'de', 'norma', 'para', 'el', 'venta', 'de', 'producto'];
Cause;2480.0;Dificultades para la venta de una oferta minima y de calidades deficientes;['dificultad', 'para', 'el', 'venta', 'de', 'uno', 'oferta', 'minimo', 'y', 'de', 'calidad', 'deficiente'];
Cause;2481.0;Desconocimiento de los productores de entidades y organismos que acompanen los procesos de organizacion y comercializacion  instrumentos que facilitan el acceso al credito agropecuario y a los Incentivos;['desconocimiento', 'de', 'el', 'productor', 'de', 'entidad', 'y', 'organismo', 'que', 'acompanar', 'el', 'proceso', 'de', 'organizacion', 'y', 'comercializacion', 'instrumento', 'que', 'facilitar', 'el', 'acceso', 'a', 'el', 'credito', 'agropecuario', 'y', 'a', 'el', 'incentivo'];
Cause;2482.0;Falta de constancia en las politicas y la dependencia de programas a corto plazo;['falta', 'de', 'constancia', 'en', 'el', 'politica', 'y', 'el', 'dependencia', 'de', 'programa', 'a', 'corto', 'plazo'];
Cause;2483.0;Insuficiente orientacion y apoyo en el tramite de registros, empaques, valor agregado y calidad;['insuficiente', 'orientacion', 'y', 'apoyo', 'en', 'el', 'tramite', 'de', 'registro', ',', 'empaque', ',', 'valor', 'agregar', 'y', 'calidad'];
Cause;2484.0;Insuficiente divulgacion a los productores de los  instrumentos que facilitan el acceso a mercados institucionales, grandes superficies y red de tiendas;['insuficiente', 'divulgacion', 'a', 'el', 'productor', 'de', 'el', 'instrumento', 'que', 'facilitar', 'el', 'acceso', 'a', 'mercado', 'institucional', ',', 'grande', 'superficie', 'y', 'red', 'de', 'tienda'];
Problem;585.0;INCREMENTO EN LA INCIDENCIA DE EMERGENCIAS Y DESASTRES EN EL SECTOR AGROPECUARIO;['incremento', 'en', 'el', 'incidencia', 'de', 'emergencia', 'y', 'desastre', 'en', 'el', 'sector', 'agropecuario'];
Effect;2370.0;1. PERDIDA DE SUELOS E INCREMENTO DE LA EROSION;['1', '.', 'perdido', 'de', 'suelo', 'e', 'incremento', 'de', 'el', 'erosion'];
Effect;2371.0;2. PERDIDAS ECONOMICAS DELOS PRODUCTORES AGROPECUARIOS EN LOS 116 MUNICIPIOS DEL DEPARTAMENTO;['2', '.', 'perdido', 'economico', 'delo', 'productor', 'agropecuario', 'en', 'el', '116', 'municipio', 'de', 'el', 'departamento'];
Effect;2373.0;Productores agropecuarios en riesgo;['productor', 'agropecuario', 'en', 'riesgo'];
Effect;2374.0;Incremento de la cartera en bancos y desmotivacion de los productores agropecuarios;['incremento', 'de', 'el', 'cartera', 'en', 'banco', 'y', 'desmotivacion', 'de', 'el', 'productor', 'agropecuario'];
Cause;3112.0;1. PRACTICAS CULTURALES INADECUADAS DE MANEJO DE SUELOS, CUENCAS HIDROGRAFICAS;['1', '.', 'practica', 'cultural', 'inadecuado', 'de', 'manejo', 'de', 'suelo', ',', 'cuenca', 'hidrografico'];
Cause;3113.0;2. NO HAY INCLUSION DE LA POBLACION EN EL DESARROLLO DE LA GESTION INTEGRAL DEL RIESGO;['2', '.', 'no', 'haber', 'inclusion', 'de', 'el', 'poblacion', 'en', 'el', 'desarrollo', 'de', 'el', 'gestion', 'integral', 'de', 'el', 'riesgo'];
Cause;3114.0;Buenas Practicas culturales implementadas en el manejo de suelos y cuencas hidrograficas;['buen', 'practica', 'cultural', 'implementado', 'en', 'el', 'manejo', 'de', 'suelo', 'y', 'cuenca', 'hidrografico'];
Cause;3115.0;Se previenen, preparan, atienden y mitigan las emergencias y desastres en el sector agropecuario;['él', 'prevenir', ',', 'preparar', ',', 'atender', 'y', 'mitigar', 'el', 'emergencia', 'y', 'desastre', 'en', 'el', 'sector', 'agropecuario'];
Problem;475.0;Deficientes condiciones socioeconomicas de la poblacion rural  en acceso a factores productivos.;['deficiente', 'condición', 'socioeconomico', 'de', 'el', 'poblacion', 'rural', 'en', 'acceso', 'a', 'factor', 'productivo', '.'];
Effect;1773.0;Dificultad en el acceso a programas estatales;['dificultad', 'en', 'el', 'acceso', 'a', 'programa', 'estatal'];
Effect;1774.0;imposibilidad de acceso al sistema financiero dentro del programa de politicas agropecuarias;['imposibilidad', 'de', 'acceso', 'a', 'el', 'sistema', 'financiero', 'dentro', 'de', 'el', 'programa', 'de', 'politica', 'agropecuario'];
Effect;1775.0;Informalidad en la tenencia de la tierra;['informalidad', 'en', 'el', 'tenencia', 'de', 'el', 'tierra'];
Effect;1776.0;Desarraigo del campo por problemas de legalizacion de predios;['desarraigo', 'de', 'el', 'campo', 'por', 'problema', 'de', 'legalizacion', 'de', 'predio'];
Effect;1777.0;No accede a recursos del sistema financiero;['no', 'acceder', 'a', 'recurso', 'de', 'el', 'sistema', 'financiero'];
Effect;1778.0;Estancamiento competitivo;['estancamiento', 'competitivo'];
Effect;1779.0;Dificultad en  produccion, competitividad y comercializacion de la produccion agropecuaria;['dificultad', 'en', 'produccion', ',', 'competitividad', 'y', 'comercializacion', 'de', 'el', 'produccion', 'agropecuario'];
Effect;1780.0;Baja disponibilidad de agua para los sistemas productivos;['bajo', 'disponibilidad', 'de', 'agua', 'para', 'el', 'sistema', 'productivo'];
Effect;1781.0;Bajo acceso a los recursos del estado;['bajo', 'acceso', 'a', 'el', 'recurso', 'de', 'el', 'estado'];
Effect;1782.0;Incremento de la inseguridad alimentaria a nivel rural y urbano;['incremento', 'de', 'el', 'inseguridad', 'alimentario', 'a', 'nivel', 'rural', 'y', 'urbano'];
Effect;1783.0;Bajo acceso a los programas institucionales de la SAN por parte de los productores rurales;['bajo', 'acceso', 'a', 'el', 'programa', 'institucional', 'de', 'el', 'san', 'por', 'parte', 'de', 'el', 'productor', 'rural'];
Effect;1784.0;Deterioro calidad de vida de los habitantes Cundinamarqueses;['deterioro', 'calidad', 'de', 'vida', 'de', 'el', 'habitante', 'cundinamarqués'];
Cause;2422.0;Informalidad en la tenencia de los predios rurales;['informalidad', 'en', 'el', 'tenencia', 'de', 'el', 'predio', 'rural'];
Cause;2423.0;dificultades del productor para acceder al credito, incentivos y al aseguramiento, impidiendo la ejecucion de proyectos productivos competitivos.;['dificultad', 'de', 'el', 'productor', 'para', 'acceder', 'a', 'el', 'credito', ',', 'incentivo', 'y', 'a', 'el', 'aseguramiento', ',', 'impedir', 'el', 'ejecucion', 'de', 'proyecto', 'productivo', 'competitivo', '.'];
Cause;2424.0;Baja oferta de acciones  que permitan la disponibilidad del recurso hidrico para el sector;['bajo', 'oferta', 'de', 'acción', 'que', 'permitir', 'el', 'disponibilidad', 'de', 'el', 'recurso', 'hidrico', 'para', 'el', 'sector'];
Cause;2425.0;desinformacion en cuanto a procesos de legalizacion de la propiedad rural.;['desinformacion', 'en', 'cuanto', 'a', 'proceso', 'de', 'legalizacion', 'de', 'el', 'propiedad', 'rural', '.'];
Cause;2426.0;Falsa tradicion en la tenencia de la tierra;['falso', 'tradicion', 'en', 'el', 'tenencia', 'de', 'el', 'tierra'];
Cause;2427.0;Dificultad por parte del pequeno productor en el cumplimiento de requisitos para acceder al sistema financiero agropecuario;['dificultad', 'por', 'parte', 'de', 'el', 'pequeno', 'productor', 'en', 'el', 'cumplimiento', 'de', 'requisito', 'para', 'acceder', 'a', 'el', 'sistema', 'financiero', 'agropecuario'];
Cause;2428.0;Baja capacidad en la disponibilidad de recursos tecnicos y financieros para el mejoramiento de la productividad de los diferentes sistemas productivos agropecuarios del Departamento;['bajo', 'capacidad', 'en', 'el', 'disponibilidad', 'de', 'recurso', 'tecnico', 'y', 'financiero', 'para', 'el', 'mejoramiento', 'de', 'el', 'productividad', 'de', 'el', 'diferente', 'sistema', 'productivo', 'agropecuario', 'de', 'el', 'departamento'];
Cause;2429.0;Desconocimiento  del manejo  eficiente del recurso hidrico;['desconocimiento', 'de', 'el', 'manejo', 'eficiente', 'de', 'el', 'recurso', 'hidrico'];
Cause;2430.0;Baja cultura de produccion y diversificacion  de alimentos de la canasta SAN.;['bajo', 'cultura', 'de', 'produccion', 'y', 'diversificacion', 'de', 'alimento', 'de', 'el', 'canasta', 'san', '.'];
Cause;2431.0;Baja disponibilidad de recursos financieros;['bajo', 'disponibilidad', 'de', 'recurso', 'financiero'];
Cause;2432.0;Carencia en la implementacion de las politicas de seguridad alimentaria por parte de los entes territoriales;['carencia', 'en', 'el', 'implementacion', 'de', 'el', 'politica', 'de', 'seguridad', 'alimentario', 'por', 'parte', 'de', 'el', 'ente', 'territorial'];
Cause;2433.0;Desarraigo de la  cultura campesina que conlleva al abandono de las actividades agropecuarias y la  migracion del campesino a las grandes ciudades.;['desarraigo', 'de', 'el', 'cultura', 'campesino', 'que', 'conllevar', 'a', 'el', 'abandono', 'de', 'el', 'actividad', 'agropecuario', 'y', 'el', 'migracion', 'de', 'el', 'campesino', 'a', 'el', 'grande', 'ciudad', '.'];
Problem;283.0;Alta informalidad en la tenencia de  predios rurales en la vereda La Montana del municipio de Utica Cundinamarca.;['alto', 'informalidad', 'en', 'el', 'tenencia', 'de', 'predio', 'rural', 'en', 'el', 'vereda', 'el', 'montana', 'de', 'el', 'municipio', 'de', 'utica', 'cundinamarco', '.'];
Effect;1333.0;Imposibilidad al acceso a programas estatales;['imposibilidad', 'a', 'el', 'acceso', 'a', 'programa', 'estatal'];
Effect;1334.0;Desarraigo del campo por problemas de legalizacion de predios.;['desarraigo', 'de', 'el', 'campo', 'por', 'problema', 'de', 'legalizacion', 'de', 'predio', '.'];
Effect;1336.0;baja calidad de vida;['bajo', 'calidad', 'de', 'vida'];
Effect;1337.0;Baja produccion agropecuaria;['bajo', 'produccion', 'agropecuario'];
Cause;1164.0;Falta de recursos para los procesos de formalizacion;['falta', 'de', 'recurso', 'para', 'el', 'proceso', 'de', 'formalizacion'];
Cause;1177.0;tramites juridicos demorados;['tramite', 'juridico', 'demorado'];
Problem;495.0;BAJA  PRODUCTIVIDAD Y COMPETITIVIDAD DE LAS ESPECIES MENORES;['bajo', 'productividad', 'y', 'competitividad', 'de', 'el', 'especie', 'menor'];
Effect;1885.0;BAJA RENTABILIDAD DELOS SISTEMAS PRODUCTIVOS Y MICROEMPRESAS (BAJA PRODUCTIVIDAD DEL SECTOR);['bajo', 'rentabilidad', 'delo', 'sistema', 'productivo', 'y', 'microempresa', '(', 'bajo', 'productividad', 'de', 'el', 'sector', ')'];
Effect;1886.0;BAJOS INGRESOS DE LOS SISTEMAS PRODUCTIVOS Y MICROEMPRESAS;['bajo', 'ingreso', 'de', 'el', 'sistema', 'productivo', 'y', 'microempresa'];
Cause;2556.0;FALTA DE MODERNIZACION DE LOS SISTEMAS PRODUCTIVOS;['falta', 'de', 'modernizacion', 'de', 'el', 'sistema', 'productivo'];
Cause;2557.0;ESCASA TRANSFERENCIA DE TECNOLOGIA;['escaso', 'transferencia', 'de', 'tecnologia'];
Cause;2562.0;BAJA PARTICIPACION EN PROCESOS DE CONSECUCION DE RECURSOS PARA DESARROLLAR LOS SISTEMAS PRODUCTIVOS;['bajo', 'participacion', 'en', 'proceso', 'de', 'consecucion', 'de', 'recurso', 'para', 'desarrollar', 'el', 'sistema', 'productivo'];
Cause;2563.0;DEFICIENTE PARTICIPACION EN LA ADOPCION DE PROYECTOS RELACIONADOS CON LA IMPLEMENTACION DE  BPP´s y BPM ( NORMATIVIDAD);['deficiente', 'participacion', 'en', 'el', 'adopcion', 'de', 'proyecto', 'relacionado', 'con', 'el', 'implementacion', 'de', 'bpp´s', 'y', 'bpm', '(', 'normatividad', ')'];
Problem;2207.0;Bajos indices en el sistema productivo porcicola que se traducen en bajos ingresos para la comunidad rural del municipio de Gahetà;['bajo', 'indiz', 'en', 'el', 'sistema', 'productivo', 'porcicola', 'que', 'él', 'traducir', 'en', 'bajo', 'ingreso', 'para', 'el', 'comunidad', 'rural', 'de', 'el', 'municipio', 'de', 'gahetà'];
Effect;11421.0;Ingresos familiares bajos;['ingreso', 'familiar', 'bajo'];
Effect;11422.0;Mala nutricion para las familias;['malo', 'nutricion', 'para', 'el', 'familia'];
Cause;9161.0;Deficiente cantidad de pie de cria en la zona;['deficiente', 'cantidad', 'de', 'pie', 'de', 'cria', 'en', 'el', 'zona'];
Cause;9162.0;Bajo asiganacion de incentivos para sistemas productivos procicolas;['bajo', 'asiganacion', 'de', 'incentivo', 'para', 'sistema', 'productivo', 'procicolo'];
Problem;1404.0;Bajos ingresos para los pescadores artesanales, provenientes de la pesca, su actividad principal;['bajo', 'ingreso', 'para', 'el', 'pescador', 'artesanal', ',', 'proveniente', 'de', 'el', 'pesca', ',', 'su', 'actividad', 'principal'];
Effect;5829.0;Deficientes condiciones economicas;['deficiente', 'condición', 'economico'];
Effect;5830.0;Pobreza y miseria;['pobreza', 'y', 'miseria'];
Cause;5737.0;Deficiente infraestructura para movilizacion de pescadores y captura de animales;['deficiente', 'infraestructura', 'para', 'movilizacion', 'de', 'pescador', 'y', 'captura', 'de', 'animal'];
Cause;5738.0;Disminucion de las poblaciones pesqueras;['disminucion', 'de', 'el', 'población', 'pesquero'];
Cause;5739.0;Uso de artes de pesca inadecuados;['uso', 'de', 'arte', 'de', 'pesca', 'inadecuado'];
Cause;5740.0;Captura de los animales con tallas inadecuadas;['captura', 'de', 'el', 'animal', 'con', 'talla', 'inadecuado'];
Cause;5741.0;No se respetan las vedas de pesca;['no', 'él', 'respetar', 'el', 'vedas', 'de', 'pesca'];
Cause;5742.0;No aplicacion de la normatividad pesquera;['no', 'aplicacion', 'de', 'el', 'normatividad', 'pesquero'];
Cause;5751.0;Contaminacion del Rio Grande de la Magdalena;['contaminacion', 'de', 'el', 'rio', 'grande', 'de', 'el', 'magdalena'];
Cause;5760.0;Deficiente acompanamiento tecnico a los pescadores artesanales;['deficiente', 'acompanamiento', 'tecnico', 'a', 'el', 'pescador', 'artesanal'];
Problem;467.0;ESCASA PARTICIPACION E INCLUSION  DE LAS MUJERES Y  JOVENES EN EL DESARROLLO DEL SECTOR AGROPECUARIO.;['escaso', 'participacion', 'e', 'inclusion', 'de', 'el', 'mujer', 'y', 'joven', 'en', 'el', 'desarrollo', 'de', 'el', 'sector', 'agropecuario', '.'];
Effect;1739.0;MIGRACION A LAS CIUDADES POR PARTE DE LAS MUJERES  RURALES;['migracion', 'a', 'el', 'ciudad', 'por', 'parte', 'de', 'el', 'mujer', 'rural'];
Effect;1740.0;PERDIDA DE CREDIBILIDAD EN LAS POLITICAS PUBLICAS RELACIONADAS CON LOS JOVENES RURALES;['perdido', 'de', 'credibilidad', 'en', 'el', 'politica', 'publico', 'relacionado', 'con', 'el', 'joven', 'rural'];
Effect;1741.0;DISMINUCION DE LA OFERTA ALIMENTARIA EN PUEBLOS Y CIUDADES;['disminucion', 'de', 'el', 'oferta', 'alimentario', 'en', 'pueblo', 'y', 'ciudad'];
Effect;1758.0;INCREMENTO DE LOS CINTURORES DE MICERIA EN LAS CIUDADES;['incremento', 'de', 'el', 'cinturor', 'de', 'miceria', 'en', 'el', 'ciudad'];
Effect;1759.0;FALTA DE UNA POLITICAS PARA INCENTIVAR  LA PARTICIPACION DE LOS  JOVENES;['falta', 'de', 'uno', 'politica', 'para', 'incentivar', 'el', 'participacion', 'de', 'el', 'joven'];
Effect;1760.0;INCREMENTO EN LOS COSTOS DE LA CANASTA FAMILIAR Y DEFICIT ALIMENTARIO;['incremento', 'en', 'el', 'costo', 'de', 'el', 'canasta', 'familiar', 'y', 'deficit', 'alimentario'];
Cause;2383.0;LIMITADO ACCESO A OPORTUNIDADES GENERADORAS DE INGRESO PARA LAS MUJERES RURALES;['limitado', 'acceso', 'a', 'oportunidad', 'generador', 'de', 'ingreso', 'para', 'el', 'mujer', 'rural'];
Cause;2384.0;DEFICIENTE INFRAESTRUCTURA  AGROPECUARIA EN LAS EXPLOTACIONES DE LOS JOVENES RURALES;['deficiente', 'infraestructura', 'agropecuario', 'en', 'el', 'explotación', 'de', 'el', 'joven', 'rural'];
Cause;2406.0;AUSENCIA DE  EMPODERAMIENTO EN LA MUJER  RURAL;['ausencia', 'de', 'empoderamiento', 'en', 'el', 'mujer', 'rural'];
Cause;2407.0;BAJOS INGRESOS ECONOMICOS;['bajo', 'ingreso', 'economico'];
Problem;602.0;INSUFICIENTE TRANSFERENCIA DE TECNOLOGIA Y ADOPCION DE LA MISMA POR PARTE DE LOS PEQUENOS Y MEDIANOS PRODUCTORES, PROFESIONALES Y TECNICOS DEL SECTOR AGROPECUARIO QUE BRINDAN ASISTENCIA TECNICA.;['insuficiente', 'transferencia', 'de', 'tecnologia', 'y', 'adopcion', 'de', 'el', 'mismo', 'por', 'parte', 'de', 'el', 'pequeno', 'y', 'mediano', 'productor', ',', 'profesional', 'y', 'tecnico', 'de', 'el', 'sector', 'agropecuario', 'que', 'brindar', 'asistencia', 'tecnico', '.'];
Effect;2455.0;Baja rentabilidad de los sistemas productivos.;['bajo', 'rentabilidad', 'de', 'el', 'sistema', 'productivo', '.'];
Effect;2456.0;ELEVADOS COSTOS EN LA PRODUCCION AGROPECUARIA.;['elevado', 'costo', 'en', 'el', 'produccion', 'agropecuario', '.'];
Effect;2457.0;OBSOLETAS PRACTICAS AGROPECUARIAS.;['obsoleto', 'practica', 'agropecuario', '.'];
Effect;2458.0;BAJO NIVEL DE INGRESOS DEL PRODUCTOR.;['bajo', 'nivel', 'de', 'ingreso', 'de', 'el', 'productor', '.'];
Effect;2459.0;BAJA COMPETITIVIDAD DE LOS SISTEMAS PRODUCTIVOS.;['bajo', 'competitividad', 'de', 'el', 'sistema', 'productivo', '.'];
Cause;3211.0;BAJO NIVEL DE FORTALECIMIENTO DE LOS PROCESOS DE TRANSFERENCIA DE TECNOLOGIA Y BAJA PRESTACION DEL SERVICIO DE  ASISTENCIA TECNICA AGROPECUARIA.;['bajo', 'nivel', 'de', 'fortalecimiento', 'de', 'el', 'proceso', 'de', 'transferencia', 'de', 'tecnologia', 'y', 'bajo', 'prestacion', 'de', 'el', 'servicio', 'de', 'asistencia', 'tecnico', 'agropecuario', '.'];
Cause;3212.0;INADECUADA IMPLEMENTACION DE MODELOS DE INNOVACION Y DESARROLLO TECNOLOGICO.;['inadecuado', 'implementacion', 'de', 'modelo', 'de', 'innovacion', 'y', 'desarrollo', 'tecnologico', '.'];
Cause;3213.0;INADECUADA INCORPORACION DE  LA TECNOLOGIA Y LA INNOVACION EN LOS SISTEMAS PRODUCTIVOS.;['inadecuado', 'incorporacion', 'de', 'el', 'tecnologia', 'y', 'el', 'innovacion', 'en', 'el', 'sistema', 'productivo', '.'];
Cause;3214.0;FALTA DE PRODUCTIVIDAD EN PEQUENOS Y MEDIANOS PRODUCTORES DEBIDO AL CAMBIO CLIMATICO QUE SE PRESENTA EN EL DEPARTAMENTO.;['falta', 'de', 'productividad', 'en', 'pequeno', 'y', 'mediano', 'productor', 'debido', 'a', 'el', 'cambio', 'climatico', 'que', 'él', 'presentar', 'en', 'el', 'departamento', '.'];
Cause;3215.0;INSUFICIENTE CAPACITACION TECNOLOGICA Y METODOLOGICA DE LOS PROFESIONALES Y TECNICOS SECTORIALES.;['insuficiente', 'capacitacion', 'tecnologico', 'y', 'metodologico', 'de', 'el', 'profesional', 'y', 'tecnico', 'sectorial', '.'];
Cause;3216.0;ESCASOS PAQUETES TECNOLOGICOS ACORDE A LOS SISTEMAS PRODUCTIVOS.;['escaso', 'paquete', 'tecnologico', 'acorde', 'a', 'el', 'sistema', 'productivo', '.'];
Cause;3217.0;INEFICIENTE ARTICULACION ENTRE ENTES GENERADORES DE TECNOLOGIA Y PRODUCTORES.;['ineficiente', 'articulacion', 'entre', 'ente', 'generador', 'de', 'tecnologia', 'y', 'productor', '.'];
Cause;3218.0;DEFICIENTE  CAPACITACION PARA GENERACION DE CONDICIONES APROPIADAS EN EL DESARROLLO DEL SECTOR AGROPECUARIO.;['deficiente', 'capacitacion', 'para', 'generacion', 'de', 'condición', 'apropiado', 'en', 'el', 'desarrollo', 'de', 'el', 'sector', 'agropecuario', '.'];
